Komentar,Preprocessed Text,Logistic Regression,Lexicon-Based
"@eriwardhana @Indomaret Setelah melengkapi dokumen di atas, silakan melampirkan dokumen tersebut ke alamat email: bicara@bi.go.id serta diinformasikan untuk nomor tiketnya yaitu BICAS-281223-00097-R. Semoga tidak terjadi kendala transaksi QRIS kedepannya. 🙏 (6)",dokumen dokumen bicara nomor tiket moga kendala transaksi,neutral,positive
"Sekarang mulai ke hipotetikalnya, AI CCTVs, yang bisa mengenali wajahmu, identifikasi dirimu, punya segudang data kamu yang available (ala OSINT) kamu pake automobile, dia tau kamu biasa pergi kemana, kamu transaksi pakai QRIS dia tau kamu biasa beli apa aja,",data pake pergi mana transaksi beli,neutral,positive
"Hingga bulan September 2023, sebanyak 13.000 pedagang telah menggunakan QRIS Livin’ untuk transaksi pembayaran, demikian disampaikan oleh Evi Martiani, Vice President (VP) Bank Mandiri Area Yogyakarta. https://t.co/TXKxfXRRLX",september dagang transaksi bayar president bank mandiri area yogyakarta,neutral,positive
Tanya cashback ini berarti transaksi qris XXI pertama kali ya? Bukan pertama kali transfer pake gopay? Soalnya ku udah pernah pake aplikasi gopaynya https://t.co/Y5IADYGWeS,transaksi pake ku pake aplikasi,neutral,positive
Ungaran kudu diperbanyak transaksi pakai QRIS 🥲,transaksi,neutral,positive
"Nggaaaa, buat transaksi under 100K 0% kalo diatas itu cmn 0,3% ajh, trus suka ada potongan/diskon kalo mau top up atau payment pake qris 😁👆",nga transaksi under atas cmn suka top up pake,positive,positive
"@eriwardhana @KontakIndomaret @Indomaret Hai, Eri. Sangat disayangkan atas hal tersebut. Sebagaimana informasi kami sebelumnya bahwa QRIS dapat menerima seluruh transaksi pembayaran menggunakan QR, walaupun Penyelenggara aplikasi pembayaran yang digunakan konsumen berbeda dengan penyelenggara QRIS di merchant. (1)",eri informasi terima transaksi bayar qr aplikasi bayar konsumen beda,neutral,positive
"@eriwardhana @KontakIndomaret @Indomaret Mengenai kendala transaksi QRIS tsb, silakan dapat menyampaikan pengaduan kepada Bank Indonesia dgn mengirimkan beberapa dokumen beserta nomor tiket melalui email bicara@bi.go.id sesuai informasi yang kami sampaikan. Semoga tidak terjadi kendala transaksi QRIS kedepannya. 🙏 (2)",kendala transaksi bank indonesia dokumen serta nomor tiket bicara sesuai informasi moga kendala transaksi,neutral,positive
"@promo_BRI @gemp1ta @cokrcicle @mlulvk jujur rasa sayangku ke BRImo itu seperti kedalaman palung Mariana min, DALEM BANGET. Sehari ga transaksi pakai QRIS BRImo rasanya langsung pengen ke kecamatan minta surat keterengan tidak mampu🥺aihihi #BRImo #BRImoFSTVL #JumatBerhadiahBRImoFSTVL  @gemp1ta @cokrcicle @mlulvk",jujur dalem banget hari transaksi ken camat surat,positive,positive
"@promo_BRI @gemp1ta @cokrcicle @mlulvk jujur rasa sayangku ke BRImo itu seperti kedalaman palung Mariana min, DALEM BANGET. Sehari ga transaksi pakai QRIS BRImo rasanya langsung pengen ke kecamatan minta surat keterengan tidak mampu🥺aihihi. #BRImo #BRImoFSTVL #JumatBerhadiahBRImoFSTVL  @gemp1ta @cokrcicle @mlulvk",jujur dalem banget hari transaksi ken camat surat,positive,positive
"@promo_BRI @gemp1ta @cokrcicle @mlulvk jujur rasa sayangku ke BRImo itu seperti kedalaman palung Mariana min, DALEM BANGET. Sehari ga transaksi pakai QRIS BRImo rasanya langsung pengen ke kecamatan minta surat keterengan tidak mampu🥺aihihi✨ #BRImo #BRImoFSTVL #JumatBerhadiahBRImoFSTVL  @gemp1ta @cokrcicle @mlulvk",jujur dalem banget hari transaksi ken camat surat,positive,positive
"ABIS KENYANG, BAYAR JADI GAMPANG KALO PAKE QRIS DI SEABANK!🤩  Kalo lagi makan all you can eat enaknya bayar pake QRIS DI SEABANK, soalnya ngebuat transaksi kamu jadi lebih mudah &amp  praktis!😎Yang pakai QRIS di SeaBank, REPLY SEABANK"" untuk kesempatan menang HADIAH SPESIAL🌟 https://t.co/zHuzwBmdX0""",abis bayar gampang pake makan enak bayar pake transaksi mudah sempat menang hadiah,positive,positive
BRI Pandanaran Dukung Transaksi Pakai QRIS di Objek Wisata Semarang  https://t.co/jiqXS1MArx,dukung transaksi objek wisata semarang,neutral,neutral
"@candyyyrush harus di urus itu, kemarin duitku ilang sendiri di dana ada riwayat transaksi bayar qris pdhl aku ga melakukan transaksi itu. udah bikin laporan tapi gak terdeteksi katanya WKWWKWK LAWAK BANGET. MANA SEMPAT DIBLOKIR CS ABAL-ABAL NYA  GAUSAH PAKAI DANA LAGI, DAN GA TERDAFTAR OJK",urus kemarin ilang transaksi bayar pdhl transaksi lapor lawak banget blokir cs gausah daftar,negative,positive
"guys, yg pake B-C-A mobile, kalo kita udah bayar pake QRIS tuh ada tampilan transaksi sukses kaya Man-diri gak ya? apa cuma bisa diliat dari mutasi? -RL",pake mobile bayar pake transaksi sukses kaya mandiri liat,neutral,positive
@jihaniyoon kak mjb ini transaksi yg qris top up pake CC gtgt bukan yaa? atau pake debit?,transaksi top up pake pake debit,neutral,positive
"Fitur terbaru dari MyBCA. 👍👍👍  Consolidated financial report qris, cc bca, dan transaksi atm.  Good job @HaloBCA https://t.co/zZ0aaAORTk",fitur baru transaksi god job,positive,positive
"Diera digital 2023 ini saya sgt bersyukur. Karena memudahkan saya dlam segala hal. Seperti berbelanja melalui e-commerce &amp  transaksi pakai berbagai e-wallet/QRIS .  Berkomunikasi semakin mudah dgn org2, serta menonton hiburan🥳  #KuisTelkom #ElevatingYourFuture @TelkomIndonesia https://t.co/ZSRKyk7ikk",era digital sgt syukur belanja transaksi mudah,neutral,positive
"Era digital 2023 ini membantuku dalam berbelanja dan transaksi apalagi dengan QRIS semuanya jadi lebih praktis dan nyaman.  Baca berita di website favorit, streaming film dan saling berkirim pesan dengan sahabat serta keluarga sanak saudara #KuisTelkom #ElevatingYourFuture https://t.co/WOvmqW4eZO",era digital belanja transaksi praktis nyaman baca berita website film pesan sahabat keluarga saudara,positive,positive
"@promo_BRI Kartu Kredit BRI Virtual emang bikin makin mudah transaksi online deh, termasuk pake QRIS juga gak ribet lagi",kartu kredit emang mudah transaksi online pake ribet,neutral,positive
@__bIaire__ qris dabis error gaada transaksi nya tp alhamdulillah masuk ternyataaa,eror gada transaksi,neutral,positive
"@greenshortalien Klo alasannya tarif qris wah keterlaluan sih pelitnya, qris juga butuh maintenance dan upgrade kan, klo semua transaksi 0% nanti mereka malah tekor. Kyknya BI harus kerjasama sama kemendag buat menekan mereka berdua pake qris😌",tarif butuh maintenance transaksi tekor kyknya kerjasama kemendag tekan dua pake,neutral,positive
"@heppy_tweet Hi TemanDANA,  Mohon maaf atas ketidaknyamanannya. Saya informasikan bahwa transaksi QRIS kamu statusnya sudah berhasil sehingga keluhan ini tidak dapat di proses lebih lanjut.  Jika produk/jasa/saldo masih belum diterima, silakan hubungi pihak merchant untuk melakukan pengece...",transaksi hasil keluh proses terima hubung,neutral,positive
"@promo_BRI transaksi online jadi makin gampang nih, tinggal scan QRIS di BRImo bayar pakek Virtual Credit Card",transaksi online gampang bayar pakek card,neutral,positive
@promo_BRI Dengan adanya Virtual Credit Card BRI di BRImo semakin memperlancar transaksi pembayaran Qris,card transaksi bayar,neutral,positive
"@promo_BRI Transaksi QRIS pake Kartu Kredit BRI Virtual bisa bangett, kan bisa lewat BRImo lho",transaksi pake kartu kredit banget,negative,positive
@promo_BRI Transaksi online dan pembayaran QRIS makin gampang pake virtual credit card dari BRI,transaksi online bayar gampang pake card,neutral,positive
"@promo_BRI Senengnya, sekarang bisa bayar QRIS pake Kartu Kredit BRI Virtual, transaksi online makin mudah aja",neng bayar pake kartu kredit transaksi online mudah,neutral,positive
"qris dana kenapa sih sekarang jelek banget, transaksi kemarin aja gamasuk masuk",jelek banget transaksi kemarin,negative,positive
"@jeniushelp min mau tanya, jenius tuh punya kerjasama sama BI ngga sih terkait transaksi keluar negeri? Soalnya jenius udah bisa menukarkan 9 mata uang sedang qris antarnegara baru bisa 3. Mohon pencerahannya dong min🫶",kerjasama nga kait transaksi negeri uang,negative,positive
"Begini Cara Membuat QRIS untuk Usaha, Nikmati Berbagai Kemudahan saat Transaksi https://t.co/Wbk1aOFHGT",usaha nikmat mudah sat transaksi,positive,neutral
"@whos_th3r3 @discountfess 1 akun 1 kali kak, khusus akun baru yg blm pernah pake qris gopay sama sekali, transaksi pertama nya ya di xxi itu",akun akun pake transaksi,neutral,positive
@promo_BRI Lebih gampang transaksi online atau pake QRIS kalo udah aktifin Kartu Kredit BRI Virtual di BRImo,gampang transaksi online pake kartu kredit,neutral,positive
"@chocoav0cado @discountfess download aplikasi gopay kak, buat transaksi qris pertama kali vouchernya berlaku. nanti bilang sm mba xxi mau scan qris gopay lalu otomatis ke apply cashback 50% gopay coinsnyaa",download aplikasi transaksi laku sm otomatis,neutral,positive
@promo_BRI Transaksi online dan QRIS makin mudah aksesnya kalo pake BRI Virtual Credit Card ini,transaksi online mudah akses pake card,neutral,positive
@promo_BRI Kartu Kredit BRI terus buka jalan untuk kemudahan transaksi baik online maupun pembayaran melalui Qris,kartu kredit buka jalan mudah transaksi online bayar,neutral,positive
@promo_BRI Makin oke nih kalo mau transaksi ake QRIS bisa langsung pake Kartu Kredit BRI Virtual,oke transaksi pake kartu kredit,neutral,positive
"@promo_BRI akhirnya bisa pake Kartu Kredit BRI untuk transaksi qris, terimakasih sudah mempermudah kaum cashless",pake kartu kredit transaksi terimakasih kaum,neutral,positive
"info nih buat para ba, shopee partner MDR 0% kalau transaksi dibawah 100k sejak desember. lumayan loh siapa tau mau bikin qris shopee https://t.co/sd6XuXyqmQ",info partner transaksi bawah desember lumayan,neutral,positive
"Udah belajar cara pake EDC, jauh2 nyamperin, pas orangnya mau bayar pake QRIS malah ga bisa2. Ternyata transaksi maksimal QRIS cuman 10jt. Baru tau lol.",ajar pake pas orang bayar pake transaksi maksimal cuman jt lol,negative,positive
"@hilmanmunawar Dengan senang hati kami informasikan. Untuk proses settlement dana atas transaksi QRIS Dinamis, ada yang harus dilakukan settlement dan ada juga settlement otomatis.",senang hati proses transaksi dinamis otomatis,positive,positive
"@Agustanti6 Hai Sobat BRI, terima kasih atas ketertarikannya terhadap produk Bank BRI. Kami informasikan transaksi QRIS BRImo dapat digunakan untuk seluruh Kartu Kredit BRI kecuali Corporate Card dan Co-Branding. (1)",sobat terima produk bank transaksi kartu kredit kecuali card,neutral,positive
"@giomachan Hai Sobat BRI, terima kasih atas ketertarikannya pada produk BRI. Kami informasikan transaksi QRIS dapat dilakukan selama Merchant memiliki Barcode QRIS dan menerima pembayaran dengan QRIS BRI ya. (1)",sobat terima produk transaksi milik barcode terima bayar,neutral,positive
"@giomachan Untuk transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. Fitur ini belum dapat digunakan untuk kartu kredit Co-Branding (OVO U Card, Tokopedia Card, Traveloka, BTN dan Pegadaian) serta Corporate Card). (2)",transaksi kartu kredit sumber kartu kredit fitur kartu kredit card card card,neutral,positive
"@promo_BRI Finally Kartu Kredit BRI ada di BRImo guys, ga cuma bisa cek saldo n transaksi, bisa dipake buat bayar QRIS dan transaksi online juga",kartu kredit cek transaksi dipake bayar transaksi online,neutral,positive
@danawallet gana apa sedang ga bisa buat transaksi min? Qris saya keluar terus,transaksi,neutral,positive
@Jokitugsfess SINII KAA AKU PERNAA BIKIN BUAT CUSTT BANYAK CONTOHNYAAA AKUUU AKUU AKUUUU BISA BANGETT AKUU YU SEND DETAILSS KE WA YAAA DI @jokibybe WA AKU ADA DI BIO PAYMNET PAKE ALL E WALLET AKU PAKE QRIS JUGAA GASS https://t.co/EXV3HPnpSe,perna contoh banget bio pake pake gas,neutral,neutral
"@jogmfs nunggu aja dihalte atau ke terminal trs tinggal naik aja deh, bayarnya bisa pake cash, qris atau emoney.  klo bingung nanya aja sm petugasnya buat tau pake bus jalur brp",terminal trs bayar pake cash bingung nanya sm tugas pake bus jalur brp,neutral,positive
ada yg pernah nuker uang dialfa or indomaret pake qris gak sih?? jadi tfnya dilebihin gituu,uang pake,negative,positive
"KULIT TERAWAT, HEMAT  Say goodbye to wajah kusam dengan DISKON 20% di Keisha Glow bayar pakai QRIS MotionBank sesuai ketentuan.  Kulit cerah, kantong ceria.  s.d 31 Desember 2023  Info: https://t.co/GMR81tA5JL  ⬇️https://t.co/hsr7RoetuI  ☎️ 1500188 | https://t.co/cZDCrvIzf3 https://t.co/h9YdVCNmN5",hemat diskon bayar sesuai kantong sd desember info,neutral,positive
Beli ayam bakar bisa pake qris egk yh,beli ayam bakar pake yh,positive,positive
"Need Jasa tf spay 315k ke akun yang lain dong, oren ku blm plus. yang bisa bayar nya pake qris ya, langsung wa #zonauang #zonajajan",jasa tf akun ku plus bayar pake,neutral,positive
"@rizkiwidhiyanti Hai Sobat BRI, terima kasih atas ketertarikannya terhadap produk BRI. Syarat menggunakan Kartu Kredit BRI Virtual dan transaksi QRIS Kartu Kredit melalui aplikasi BRImo yaitu memiliki rekening BRI yang aktif, terdaftar BRImo dan memiliki Kartu Kredit BRI kecuali (1)",sobat terima produk syarat kartu kredit transaksi kartu kredit aplikasi milik rekening daftar milik kartu kredit kecuali,neutral,positive
Wish me luck bayar nya bisa debit or qris alias gue gabawa cash sebanyak itu anj,bayar debit alias gue gabawa cash anj,negative,positive
turnitin yg bisa bayar pake bca/qris bca #zonabu #zonajajan,bayar pake,neutral,positive
pembayaran qris lewat shopee bisa pake koin gak si?😭,bayar pake koin,neutral,positive
plus pas di kasir malah dia yang “mba bisa pake debit?” padahal gue udah siap siap qris (pengalaman pribadi),plus pas pake debit gue alam pribadi,neutral,positive
@adarkestplace iyaa. sehari 4k bisa pake qris,hari pake,positive,neutral
mau bayar pake qris tapi sinyal lu jelek terus antrian di belakang panjang ^__^,bayar pake sinyal jelek antri,negative,positive
wtb diary sg24 nct dream yang bisa bayar pake qris prio dom bandung,bayar pake bandung,negative,positive
wtb convert gopay ke spay yg bisa bayar pake qris pls butuh cepet😭 #zonauang,bayar pake butuh cepet,neutral,positive
"Korbannya udh banyak (bbrp dm gue). Tolong di highlight  Alurnya : 1. Suruh isi data 2. Pembayaran minta pake QRIS 3. Suruh buru buru bayar (Meyakinkan kita dengan ss tiket palsu) 3. Kalo kalian dah tf dia... ✨MENGHILANG✨  Sudah dites di 2 akun yang berbeda, bonus barcode nih🥰 https://t.co/nZLMOfxHMZ",udh brp gue tolong suruh isi data bayar pake suruh buru bayar tiket palsu tf hilang akun beda bonus barcode,neutral,positive
"@vivietandria Virtual Credit Card, serta menjadikan Kartu Kredit BRI sebagai sumber dana untuk transaksi QRIS  Informasi lebih lengkap, silakan mengunjungi Link https://t.co/4a2cwDKBTm (https://t.co/4a2cwDKBTm) Akun resmi medsos BRI sudah ter-Verified ya. (5)",card jadi kartu kredit sumber transaksi informasi lengkap link akun resmi medsos,neutral,positive
@baybjayb 3rb saja kaa bayar pakek qris atau ewallet pembayaran diakhir wa di bio ka,bayar pakek bayar bio,neutral,positive
rumus dari mana bayar pakek qris nambah seribu 😮‍💨,bayar pakek nambah ribu,negative,positive
"Tanya kan maks cb qris Gopay tuh 500 rupiah dan maks per hari 10x. Nah itu semisal ngalkuin 10x transaksi masing-masing 500k  rupiah, nanti cb-nya tetap Rp500 atau Rp5k?",maks cb rupiah maks transaksi rupiah rp rp,neutral,positive
"@popcorngureum Akuu masih ada nih kak 65k bisa pake qris, tapi dom bogor🙏🏻",pake bogor,neutral,positive
"qris yg worth it skrg apa ya bingung, pake spartner/neo/dabis?   #zonauang",worth bingung pake,negative,positive
Karena Alfa bisa bayar pake qris bca.,alfa bayar pake,neutral,positive
Pake qris bri discount 50k min pay 110 sebelum pajak lumayan bangettt🫶🏻🥺 https://t.co/VLevKLD0Ln,pake pay pajak lumayan banget,positive,positive
💚 guys tf dari dana pake qris nanti bisa langsung masuk ke apk dana ngga atau gmna,tf pake apk nga,neutral,positive
"@matiusmangalore Hai Sobat BRI, terima kasih atas ketertarikannya terhadap produk Kartu Kredit BRI. Apabila Sobat BRI sudah melakukan aktivasi Kartu Kredit Virtual melalui BRImo, maka pada saat transaksi QRIS, silakan memilih kartu kredit sebagai sumber dana ya. (1)",sobat terima produk kartu kredit sobat kartu kredit sat transaksi pilih kartu kredit sumber,neutral,positive
"1 lagi, bayar pake QRIS di alfamart ga seribet indomaret. Di indomaret ribet dan LUAMAAAA",bayar pake alfamart ribet,neutral,positive
maaf pake ht ada yg tau gak akun yg punya qris ini? namanya kak bubu (kalo gak salah aku lupa soalnya) aku lagi ada perlu banget  #zonauang https://t.co/tP3z6cWVkv,pake akun nama salah lupa banget,negative,positive
braw! belanja disini bisa pake qris ga ya? soalnya sender liat di ulasan ada yg bilang bisa qris ada yg bilang wajib cash https://t.co/GOul8qq4RS,belanja pake sender liat wajib cash,neutral,positive
IYAAA COKKK GUE SETIAP JAJAN PAKE QRIS DAN SEKARANG DUIT GUE TINGGAL KENANGAN,gue jajan pake duit gue kenang,positive,neutral
"Krn lbh sering pake qris/mbanking, lupa pw debit 🥲🥲🥲",pake lupa debit,neutral,positive
@Yantirianti628 yang telah terdaftar di aplikasi BRImo. Selain itu Sobat BRI juga dapat menggunakan Kartu Kredit BRI yang terdaftar pada aplikasi BRImo sebagai sumber dana untuk transaksi QRIS dengan metode MPM (Merchant Presented Mode) ya. Sebelumnya mohon dipastikan ingin (2),daftar aplikasi sobat kartu kredit daftar aplikasi sumber transaksi,neutral,positive
netflix sehari yang bisa bayar pake qris dong #zonauangᅠᅠ,hari bayar pake,positive,positive
"@Yantirianti628 aktivasi Kartu Kredit BRI pergantian, perpanjangan atau sudah memiliki Kartu Kredit BRI dan ingin melakukan aktivasi QRIS agar dapat transaksi melalui BRImo?  Just Info, akun media sosial resmi Bank BRI hanya yang sudah ter-Verified ya. Tks~Dion (3)",kartu kredit ganti panjang milik kartu kredit transaksi info akun media sosial resmi bank,neutral,positive
"@txtfromkeuangan Kekurangannya si alpa, transaksi cashless kadang offline lbh cepat dibanding indomart Kadang heran Msh jam 9an malem, mau bayar pake ewallet atau qris, udh offline 🥱",transaksi kadang cepat banding kadang heran jam malem bayar pake udh,negative,positive
"@promo_BRI Mau bayar online ataupun Qris  ga perlu kuatir karena mudah banget pake BRImo bank BRI, dan juga Kartu Kredit BRI paling gampang pengajuannya, selalu buka jalan",bayar online mudah banget pake bank kartu kredit gampang buka jalan,positive,positive
@popcorngureum 65k dp 35k bisa pake qris tp dom jakarta bisa cicilan jg,pake jakarta cicil,neutral,neutral
"@ceasvo di tempatku adanya mie ayam ceban anjir, ak mw nitip 1 pake qris ya 😆☝🏻",tempat mie ayam ceban anjir ak pake,neutral,positive
@convomf Aku selalu mau bayar sendiri tapi doi gercep bgt bayar pake qris nyaa😭 dan gamau split bill. Bayar pake cash malah rebutan bayar di kasir😭,bayar doi bayar pake gamau bayar pake cash rebut bayar,neutral,positive
Anak ku 4 tahun sudah meniru bapaknya mau bayar pake qris,anak ku bapak bayar pake,negative,positive
"Ngajak Oci = ngajak bocil. Bedanya dia kagak minta kinder joy🥲  YAAANG, sumpah cobain ini. Cakep bgt, aku td udah coba BAGUS BGT YANG!"" iyak, heboh. Pacarnya yang belanja, dia yang geter😭  Giliran bayar dan ditanya, ""mau card atau qris, kak?"" Jawabnya pasti, ""cash."" GAPTEK😭🫵 https://t.co/fttQWU8RNB""",bocil beda joy sumpah cobain td coba bagus heboh belanja gilir bayar card cash,negative,positive
@txtfromkeuangan enak nya bisa bayar Qris di alfamart,bayar alfamart,neutral,positive
AKHIRNYA KANTIN ADA YG BISA BAYAR PAKE QRIS😭,bayar pake,neutral,neutral
"benerrrrrrrr, gaada cash biar ga jajan, eh malah nyari jajan yang bisa bayar pake qris😔😔😔😔",bener gada cash jajan nyari jajan bayar pake,positive,positive
"@itbfess gak qris sih, tapi kalo ada tulisan powered by parkee di atas tiketnya, bisa bayar pake aplikasi parkee nder. aku suka bayar pake gopay lewat parkee soalnya",tulis tiket bayar pake aplikasi suka bayar pake,positive,positive
"@Tiarasukmawan proses registrasi • Proses aktivasi telah berhasil dan Nasabah telah dapat mengakses fitur Digital Display Virtual Credit Card, serta menjadikan Kartu Kredit BRI sebagai sumber dana untuk transaksi QRIS (4)",proses proses hasil fitur digital display card jadi kartu kredit sumber transaksi,neutral,positive
"@erna_sarii2 proses registrasi • Proses aktivasi telah berhasil dan Nasabah telah dapat mengakses fitur Digital Display Virtual Credit Card, serta menjadikan Kartu Kredit BRI sebagai sumber dana untuk transaksi QRIS (5)",proses proses hasil fitur digital display card jadi kartu kredit sumber transaksi,neutral,positive
juhak tipikal bf yg ngasih card ke cweknya trus dia ngeluyur cari jajanan sendiri tar belinya pake qris,ngasih card cari beli pake,positive,positive
"aku lg makan trs lupa bawa cash atm jauh and gbs pake qris karna problem, eh ada tukang parkir dia ngasih pinjem dia blg tar aja tf nya pas udah smpe rumah. baik bgt woi😭😭😭",makan trs lupa bawa cash pake karna problem tukang parkir ngasih pinjem blg tf pas smpe rumah,negative,positive
"💭 gaes yg jualan olshop atau yg pake qris. Mau tanya dong, masing masing merchant ov* , sho*e p*y dan lain lain ada ppn atau pajak nya selain potongan MDR ga ya??? Aku olshop bru lagi mau tau tntg qriss hehee dijawab ya kak",jual pake py pn pajak potong bru tntg,neutral,positive
@Jokitugsfess HOIIIII AKUUU AKUU AKUUUU BISA BANGETT AKUU YU SEND DETAILSS KE WA YAAA DI @jokibybe WA AKU ADA DI BIO PAYMNET PAKE ALL E WALLET AKU PAKE QRIS JUGAA GASS https://t.co/EXV3HPnpSe,banget bio pake pake gas,neutral,neutral
@lilangelich Kalo jajan di kantin pake Qris,jajan pake,positive,positive
Ada yg bisa tfin ke dana aku 500 perak ga? Nanti tek ganti jadi 1k soalnya dibrimo😭 tapi pake qris yaaa butuh bgttt aseliiii #zonauang,perak ganti pake butuh,neutral,positive
@undipmenfess Ejaan tapi harus siapin duit cash biar gadisuruh belanja minimal 50k kalo pake qris,siapin duit cash belanja minimal pake,negative,positive
orang orang pada ngedit qris yang lucu lucu tu gimana si? pake app apa? #zonaba #zonauang,lucu pake ap,positive,positive
"@GENSHINJUALBELI (੭˃ᴗ˂)੭ hai sender! bisa yuk sama nyah 8k (resin pake conden) / 12k (non-conden), bisa banget langsung dikerjain skrng yaa. avail via qris juga ya! ೀ  WA : https://t.co/x79VKM2pEA Telegram : https://t.co/QGmdA0ZdQI https://t.co/cHm0Q7q4ry",sender pake banget skrng avail via,neutral,positive
"@STRUICKdus Uang kerts jg boleh, nerima byara pake qris, tf dll juga",uang nerima pake tf dl,negative,positive
KITA SUDAH BISA BAYAR PAKE QRIS LOOOO,bayar pake,neutral,neutral
"Kini Telah tersedia Deposit QRIS PAYMENT di BULANTOGEL , Transaksi semakin Mudah dengan QRIS PAYMENT hanya dengan sekali Scan Barcode QRIS deposit langsung diproses hanya dalam waktu hitungan detik !  #bandarjudi https://t.co/IQxwsHQEQx",sedia transaksi mudah barcode hitung,neutral,positive
"@Biancanina11 Hai Sobat BRI, tidak perlu khawatir. Bisa ya, selama Kartu kredit BRI yang dimiliki selain Corporate Card dan Co-Branding (OVO U Card, Traveloka Paylater, Kartu Emas Pegadaian, BTN Gold, BTN Paltinum dan Tokopedia Card) maka dapat dijadikan sumber dana transaksi QRIS BRImo ya....",sobat khawatir kartu kredit milik card card kartu emas card jadi sumber transaksi,neutral,positive
"@txtfromkeuangan Alfamart udah bisa pembayaran pake qris, indomaret belum 🙂",alfamart bayar pake,neutral,neutral
"Hallo gaes. Yuk yang butuh cek turnitin no repository, proses cepat, admin fast respon. Bisa merapat ke wa 👉🏻 https://t.co/1Ng1AsAxoE Transaksi bisa via QRIS loh. Yuk tunggu apa lagi, buruan. #zonauang #zonaba https://t.co/F0AXq76EaI",butuh cek proses cepat admin respon transaksi via buru,neutral,positive
"baru tau kimia farma bisa bayar pake qris tau gt beli sirplus dari kemaren kemaren :,)",bayar pake beli kemaren,neutral,positive
"@bkclean_ tenaaaang, amplop nikahnya pake qris aja 🤗",tenang amplop pake,positive,positive
"❓ F.A.Q  Q : Apakah bisa transaksi belanja di minimarket?  A : Bisa, dengan minimal transaksi belanja 100K IDR.  Q : Apakah mendukung fitur QRIS seperti dalam layanan OVO, DANA dan dompet digital lainnya?  A : Saat ini belum ada fitur QRIS.",transaksi belanja minimarket minimal transaksi belanja idr dukung fitur layan dompet digital sat fitur,neutral,positive
@BilqisHumaira20 dapat dijadikan sumber dana transaksi QRIS BRImo ya.   Informasi lengkap dapat diakses melalui https://t.co/4a2cwDKBTm . Just info akun resmi BRI hanya yang sudah ter-Verified dan Channel Private BRI melalui WhatsApp hanya dengan nomor 08121214017 ya. Tks~Tedi (2),jadi sumber transaksi informasi lengkap info akun resmi private nomor,neutral,positive
@DwikasariH 4. Untuk transaksi Pilih QRIS &gt  Scan Barcode &gt  masukan nominal pembayaran &gt  pilih sumber dana (rekening/kartu kredit) &gt  konfirmasi dan masukan PIN BRImo &gt  Transaksi berhasil.  Informasi lengkap dapat diakses melalui https://t.co/4a2cwDKBTm . (4),transaksi masuk nominal bayar pilih sumber kredit masuk informasi lengkap,neutral,positive
@giowinataputra 5. Untuk transaksi Pilih QRIS &gt  Scan Barcode &gt  masukan nominal pembayaran &gt  pilih sumber dana (rekening/kartu kredit) &gt  konfirmasi dan masukan PIN BRImo &gt  Transaksi berhasil.  Informasi lengkap dapat diakses melalui https://t.co/4a2cwDKBTm . (4),transaksi masuk nominal bayar pilih sumber kredit masuk informasi lengkap,neutral,positive
"@IndiAdira Hai Sobat BRI, jika Kartu kredit BRI yang dimiliki selain Corporate Card dan Co-Branding (OVO U Card, Traveloka Paylater, Kartu Emas Pegadaian, BTN Gold, BTN Paltinum dan Tokopedia Card) maka dapat dijadikan sumber dana transaksi QRIS BRImo. Silakan pengaktifan dengan cara: (1)",sobat kartu kredit milik card card kartu emas card jadi sumber transaksi,neutral,positive
@IndiAdira 4. Untuk transaksi Pilih QRIS &gt  Scan Barcode &gt  masukan nominal pembayaran &gt  pilih sumber dana (rekening/kartu kredit) &gt  konfirmasi dan masukan PIN BRImo &gt  Transaksi berhasil.  Informasi lengkap dapat diakses melalui https://t.co/4a2cwDKBTm  . (4),transaksi masuk nominal bayar pilih sumber kredit masuk informasi lengkap,neutral,positive
@lindawatigrng Verifikasi data via OTP &gt  QRIS kartu kredit sudah Aktif 5. Untuk transaksi Pilih QRIS &gt  Scan Barcode &gt  masukan nominal pembayaran &gt  pilih sumber dana (rekening/kartu kredit) &gt  konfirmasi dan masukan PIN BRImo &gt  Transaksi berhasil. (4),kredit transaksi masuk nominal bayar pilih sumber kredit masuk,neutral,positive
@lisasafitri638 Verifikasi data via OTP &gt  QRIS kartu kredit sudah Aktif 5. Untuk transaksi Pilih QRIS &gt  Scan Barcode &gt  masukan nominal pembayaran &gt  pilih sumber dana (rekening/kartu kredit) &gt  konfirmasi dan masukan PIN BRImo &gt  Transaksi berhasil. (4),kredit transaksi masuk nominal bayar pilih sumber kredit masuk,neutral,positive
"@sitimaisarah311 Syarat dan ketentuan pilih Setuju"" &gt  isi data (Exp Date, Tanggal lahir) &gt  Verifikasi data via OTP &gt  QRIS kartu kredit sudah Aktif 5. Untuk transaksi Pilih QRIS &gt  Scan Barcode &gt  masukan nominal pembayaran &gt  pilih sumber dana (rekening/kartu kredit) &gt  konfirmasi dan masukan PIN...""",syarat pilih tuju isi data lahir kredit transaksi masuk nominal bayar pilih sumber kredit masuk,neutral,positive
